URL	Last crawled
https://www.languagegems.com/grammar/spanish/articles/definite	2025-12-13
https://www.languagegems.com/edexcel-french-gcse	2025-12-09
https://www.languagegems.com/grammar/french/pronouns/double-pronouns	2025-12-09
https://www.languagegems.com/grammar/french/adverbs/adverbial-phrases	2025-12-06
https://www.languagegems.com/grammar/french/nouns/noun-agreement	2025-12-05
https://www.languagegems.com/grammar/french/pronouns/relative-que	2025-12-03
https://www.languagegems.com/grammar/spanish/nouns/gender-rules	2025-11-26
https://languagegems.com/grammar/spanish/adverbial-prepositional/superlatives	2025-11-22
https://languagegems.com/grammar/french/conjunctions/subordinating	2025-11-22
https://www.languagegems.com/grammar/spanish/verbs/imperfect-tense	2025-11-21
https://www.languagegems.com/edexcel-german-gcse	2025-11-06
https://www.languagegems.com/grammar/spanish/verbs/gustar	2025-11-06
https://www.languagegems.com/grammar/spanish/verbs/subjunctive-present	2025-11-05
https://www.languagegems.com/grammar/spanish/verb-phrases/present-continuous	2025-11-05
https://www.languagegems.com/grammar/french/expressions/measurements	2025-11-05
https://www.languagegems.com/grammar/french/conditionals/si-clauses	2025-11-04
https://www.languagegems.com/grammar/french/verbs/passe-compose	2025-10-30
https://www.languagegems.com/games/detective-listening	2025-10-28
https://languagegems.com/grammar/spanish/adverbial-prepositional/por-vs-para	2025-10-27
https://languagegems.com/grammar/french/numbers/ordinal	2025-10-27
https://languagegems.com/grammar/french/adjectives/indefinite-adjectives	2025-10-27
https://www.languagegems.com/grammar/french/prepositions/basic-prepositions	2025-10-27
https://languagegems.com/grammar/spanish/nouns/definite-indefinite	2025-10-27
https://www.languagegems.com/sitemap	2025-10-25
https://languagegems.com/grammar/spanish/verbs/preterite	2025-10-24
https://www.languagegems.com/grammar/spanish/verbs/conditional-tense	2025-10-23
https://languagegems.com/grammar/spanish/verbs/motion-verbs	2025-10-23
https://languagegems.com/grammar/german/cases/two-way-prepositions	2025-10-23
https://languagegems.com/grammar/french/nouns/contractions	2025-10-19
https://languagegems.com/grammar/spanish/adjectives/comparison/practice	2025-10-13
https://languagegems.com/grammar/spanish/adjectives/agreement/practice	2025-10-10
https://languagegems.com/grammar/spanish/pronouns/direct-object/practice	2025-10-10
https://languagegems.com/grammar/spanish/pronouns/possessive/practice	2025-10-10
https://www.languagegems.com/worksheets/create/reading-comprehension	2025-09-21
https://www.languagegems.com/worksheets/create/vocabulary-practice	2025-09-18
