URL	Last crawled
https://www.languagegems.com/grammar/spanish/adjectives/position/practice	2025-12-22
https://www.languagegems.com/grammar/spanish/verbs/present-tense/practice	2025-12-22
https://www.languagegems.com/grammar/spanish/pronouns/reflexive/practice	2025-12-22
https://www.languagegems.com/grammar/spanish/verbs/periphrastic-future/practice	2025-11-25
https://www.languagegems.com/resources/blog	2025-11-18
https://www.languagegems.com/grammar/german/verbs/reflexive-verbs/practice	2025-11-17
https://www.languagegems.com/grammar/spanish/nouns/possessive-adj/test	2025-11-17
https://www.languagegems.com/grammar/french/nouns/collective-nouns/test	2025-11-17
https://www.languagegems.com/grammar/spanish/verbs/verb-aspect/test	2025-11-17
https://www.languagegems.com/grammar/french/adjectives/placement/practice	2025-11-16
https://www.languagegems.com/grammar/spanish/verbs/present-tense/test	2025-11-12
https://www.languagegems.com/grammar/spanish/verbs/verb-complementation/practice	2025-11-09
https://www.languagegems.com/grammar/french/verbs/present-perfect/practice	2025-11-06
https://www.languagegems.com/grammar/french/adverbs/negation-adverbs/practice	2025-11-05
https://www.languagegems.com/grammar/spanish/verbs/compound-tenses/practice	2025-11-05
https://www.languagegems.com/grammar/french/verbs/negative-forms/practice	2025-11-05
https://www.languagegems.com/grammar/french/nouns/definite-articles/test	2025-11-03
https://www.languagegems.com/grammar/german/verbs/reflexive-verbs/test	2025-11-02
https://www.languagegems.com/grammar/spanish/verbs/conditional-sentences/test	2025-11-01
https://www.languagegems.com/grammar/spanish/nouns/gender-and-plurals/test	2025-10-31
https://www.languagegems.com/grammar/spanish/verbs/terminative-verbs/practice	2025-10-29
https://www.languagegems.com/grammar/french/nouns/definite-articles/practice	2025-10-28
https://www.languagegems.com/grammar/french/pronouns/relative-dont/test	2025-10-28
https://www.languagegems.com/grammar/german/verbs/perfect-tense/test	2025-10-27
https://www.languagegems.com/grammar/spanish/verbs/subjunctive/practice	2025-10-24
https://www.languagegems.com/grammar/spanish/verbs/imperfect/practice	2025-10-14
https://www.languagegems.com/grammar/spanish/verbs/preterite/practice	2025-10-13
https://www.languagegems.com/grammar/french/pronouns/y-en/practice	2025-10-13
https://www.languagegems.com/grammar/spanish/verbs/light-verbs/quiz	2025-10-12
https://www.languagegems.com/grammar/spanish/verbs/present-perfect/quiz	2025-10-12
https://www.languagegems.com/grammar/spanish/verbs/subjunctive-perfect/quiz	2025-10-11
https://www.languagegems.com/grammar/german/verbs/perfect-tense/practice	2025-10-11
https://www.languagegems.com/grammar/spanish/pronouns/personal/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/possessive/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/adjectives/demonstrative/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/verbs/conditional/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/verbs/ser-vs-estar/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/adjectives/demonstrative/quiz	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/reflexive/quiz	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/indirect-object/practice	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/personal/quiz	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/direct-object/quiz	2025-10-10
https://www.languagegems.com/grammar/spanish/pronouns/possessive/quiz	2025-10-06
