URL	Last crawled
https://www.languagegems.com/grammar/spanish/verbs	2025-12-23
https://www.languagegems.com/grammar/spanish/pronouns	2025-12-23
https://www.languagegems.com/grammar/spanish/nouns	2025-12-22
https://languagegems.com/index.html	2025-12-21
https://languagegems.com/grammar/spanish/adjectives	2025-12-15
https://languagegems.com/grammar/spanish/nouns	2025-12-05
https://languagegems.com/grammar/spanish/pronouns	2025-12-05
https://languagegems.com/grammar/spanish/verbs	2025-12-05
https://languagegems.com/grammar/german/cases	2025-11-23
https://www.languagegems.com/learn/chinese	2025-11-20
https://www.languagegems.com/learn/japanese	2025-11-20
https://languagegems.com/grammar/german/verbs	2025-11-19
https://www.languagegems.com/year	2025-11-15
https://www.languagegems.com/learn/french/about	2025-11-15
https://languagegems.com/grammar/spanish/verbs/preterite/quiz	2025-11-15
https://www.languagegems.com/schools/contact?plan=mat	2025-11-14
https://www.languagegems.com/learn/daily-life	2025-11-12
https://www.languagegems.com/learn/portuguese	2025-11-12
https://www.languagegems.com/$	2025-11-06
https://www.languagegems.com/grammar/spanish/adverbs	2025-11-06
https://www.languagegems.com/grammar/spanish/numbers	2025-11-04
https://www.languagegems.com/grammar/spanish/articles/definite-articles/quiz	2025-11-04
https://www.languagegems.com/coming-soon/progress	2025-11-01
https://www.languagegems.com/learn/mandarin	2025-10-31
https://www.languagegems.com/learn/education	2025-10-31
https://languagegems.com/vocabmaster	2025-10-29
https://languagegems.com/grammar/french/verbs	2025-10-28
https://languagegems.com/grammar/spanish/verbs/future/quiz	2025-10-27
https://www.languagegems.com/aqa-speaking-test	2025-10-27
https://www.languagegems.com/learn/spanish	2025-10-26
https://www.languagegems.com/learn/english	2025-10-26
https://www.languagegems.com/learn/italian	2025-10-25
https://languagegems.com/aqa-reading-test	2025-10-24
https://languagegems.com/grammar/spanish/adjectives/position/quiz	2025-10-23
https://languagegems.com/grammar/french/conjunctions	2025-10-22
https://www.languagegems.com/vocabmaster	2025-10-16
https://www.languagegems.com/learn/health	2025-10-14
https://www.languagegems.com/learn/german	2025-10-14
https://www.languagegems.com/learn/travel	2025-10-13
https://www.languagegems.com/learn/arabic	2025-10-09
https://www.languagegems.com/exercises	2025-10-02
https://languagegems.com/search?q=%7Bsearch_term_string%7D	2025-09-26
https://www.languagegems.com/themes	2025-09-21
https://www.languagegems.com/premium	2025-09-20
https://www.languagegems.com/coming-soon/games	2025-09-08
https://languagegems.com/games/gem-collector	2025-09-06
https://languagegems.com/coming-soon/themes	2025-09-06
https://www.languagegems.com/shop	2025-09-05
https://languagegems.com/vocabulary	2025-09-03
https://languagegems.com/worksheets	2025-09-02
https://languagegems.com/games/memory-master	2025-08-24
https://languagegems.com/coming-soon/games	2025-08-07
https://languagegems.com/games/lava-temple	2025-07-28
